Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Courant_A
2024-01-01 00:00:00,PMP-042,50.2,1.96,10.4
2024-01-01 01:00:00,PMP-042,50.2,1.88,9.5
2024-01-01 02:00:00,PMP-042,51.9,1.96,9.5
2024-01-01 03:00:00,PMP-042,52.5,2.06,11.1
2024-01-01 04:00:00,PMP-042,50.2,2.04,10.4
2024-01-01 05:00:00,PMP-042,51.3,2.06,10.9
2024-01-01 06:00:00,PMP-042,56.4,1.4,11.0
2024-01-01 07:00:00,PMP-042,52.7,2.03,10.5
2024-01-01 08:00:00,PMP-042,50.4,2.4,9.5
2024-01-01 09:00:00,PMP-042,47.3,2.22,10.6
2024-01-01 10:00:00,PMP-042,50.9,1.88,10.0
2024-01-01 11:00:00,PMP-042,50.9,2.24,9.5
2024-01-01 12:00:00,PMP-042,48.7,2.11,10.0
2024-01-01 13:00:00,PMP-042,49.1,1.84,9.4
2024-01-01 14:00:00,PMP-042,50.4,2.16,9.7
2024-01-01 15:00:00,PMP-042,49.5,2.02,9.8
2024-01-01 16:00:00,PMP-042,48.6,1.87,8.8
2024-01-01 17:00:00,PMP-042,45.4,1.99,9.1
2024-01-01 18:00:00,PMP-042,44.9,2.19,9.5
2024-01-01 19:00:00,PMP-042,49.5,2.21,10.0
2024-01-01 20:00:00,PMP-042,50.4,1.42,9.3
2024-01-01 21:00:00,PMP-042,48.0,2.33,10.1
2024-01-01 22:00:00,PMP-042,49.3,2.1,9.9
2024-01-01 23:00:00,PMP-042,45.6,2.05,10.0
2024-01-02 00:00:00,PMP-042,49.4,1.91,9.6
2024-01-02 01:00:00,PMP-042,50.9,2.26,10.1
2024-01-02 02:00:00,PMP-042,49.1,1.82,9.6
2024-01-02 03:00:00,PMP-042,51.1,1.64,10.6
2024-01-02 04:00:00,PMP-042,49.6,2.06,9.7
2024-01-02 05:00:00,PMP-042,53.2,1.86,10.4
2024-01-02 06:00:00,PMP-042,53.3,2.76,10.4
2024-01-02 07:00:00,PMP-042,52.0,2.16,10.4
2024-01-02 08:00:00,PMP-042,53.7,1.38,10.1
2024-01-02 09:00:00,PMP-042,52.8,1.96,9.8
2024-01-02 10:00:00,PMP-042,53.2,1.83,10.1
2024-01-02 11:00:00,PMP-042,47.2,2.21,10.3
2024-01-02 12:00:00,PMP-042,48.8,2.02,8.6
2024-01-02 13:00:00,PMP-042,48.2,2.28,10.0
2024-01-02 14:00:00,PMP-042,48.7,2.12,9.9
2024-01-02 15:00:00,PMP-042,44.4,2.43,10.7
2024-01-02 16:00:00,PMP-042,47.0,1.61,9.6
2024-01-02 17:00:00,PMP-042,44.9,2.05,10.8
2024-01-02 18:00:00,PMP-042,45.0,1.9,9.4
2024-01-02 19:00:00,PMP-042,49.2,2.3,9.9
2024-01-02 20:00:00,PMP-042,43.8,1.9,9.4
2024-01-02 21:00:00,PMP-042,46.0,1.77,9.9
2024-01-02 22:00:00,PMP-042,50.5,2.41,9.8
2024-01-02 23:00:00,PMP-042,48.6,2.64,9.7
2024-01-03 00:00:00,PMP-042,49.1,2.26,10.1
2024-01-03 01:00:00,PMP-042,50.6,1.97,9.9
2024-01-03 02:00:00,PMP-042,50.9,1.62,10.3
2024-01-03 03:00:00,PMP-042,54.8,2.17,10.2
2024-01-03 04:00:00,PMP-042,51.3,2.64,10.8
2024-01-03 05:00:00,PMP-042,52.7,1.78,10.5
2024-01-03 06:00:00,PMP-042,55.8,2.16,10.7
2024-01-03 07:00:00,PMP-042,46.6,1.33,10.7
2024-01-03 08:00:00,PMP-042,50.8,2.08,10.3
2024-01-03 09:00:00,PMP-042,54.5,2.35,9.7
2024-01-03 10:00:00,PMP-042,52.9,2.14,10.5
2024-01-03 11:00:00,PMP-042,49.7,2.41,10.0
2024-01-03 12:00:00,PMP-042,48.3,2.36,9.2
2024-01-03 13:00:00,PMP-042,49.6,1.97,10.0
2024-01-03 14:00:00,PMP-042,47.8,2.38,10.2
2024-01-03 15:00:00,PMP-042,44.0,2.2,9.7
2024-01-03 16:00:00,PMP-042,45.6,2.42,10.2
2024-01-03 17:00:00,PMP-042,47.0,1.68,9.8
2024-01-03 18:00:00,PMP-042,45.7,2.55,9.7
2024-01-03 19:00:00,PMP-042,47.2,1.5,10.6
2024-01-03 20:00:00,PMP-042,46.5,1.75,9.9
2024-01-03 21:00:00,PMP-042,53.1,1.93,9.0
2024-01-03 22:00:00,PMP-042,47.1,2.06,9.3
2024-01-03 23:00:00,PMP-042,48.4,3.03,9.0
2024-01-04 00:00:00,PMP-042,50.3,1.43,9.9
2024-01-04 01:00:00,PMP-042,50.7,2.23,10.5
2024-01-04 02:00:00,PMP-042,48.6,1.96,9.9
2024-01-04 03:00:00,PMP-042,51.8,2.03,10.8
2024-01-04 04:00:00,PMP-042,51.4,2.3,10.6
2024-01-04 05:00:00,PMP-042,54.1,2.33,9.2
2024-01-04 06:00:00,PMP-042,55.1,2.47,10.0
2024-01-04 07:00:00,PMP-042,51.9,1.93,10.4
2024-01-04 08:00:00,PMP-042,49.3,1.75,11.4
2024-01-04 09:00:00,PMP-042,55.3,1.73,10.5
2024-01-04 10:00:00,PMP-042,51.6,1.62,9.8
2024-01-04 11:00:00,PMP-042,52.1,1.87,10.5
2024-01-04 12:00:00,PMP-042,45.4,2.3,9.2
2024-01-04 13:00:00,PMP-042,49.6,2.19,9.1
2024-01-04 14:00:00,PMP-042,50.0,1.75,10.0
2024-01-04 15:00:00,PMP-042,53.5,2.21,9.5
2024-01-04 16:00:00,PMP-042,46.0,2.03,10.9
2024-01-04 17:00:00,PMP-042,45.6,2.2,8.2
2024-01-04 18:00:00,PMP-042,47.9,2.31,11.1
2024-01-04 19:00:00,PMP-042,52.0,2.17,9.9
2024-01-04 20:00:00,PMP-042,48.0,1.96,9.7
